datetime,intersection_id,vehicles_count,avg_speed
2025-02-01 00:00:00,INT_101,97,45.89
2025-02-01 00:00:00,INT_102,79,44.36
2025-02-01 00:00:00,INT_103,98,42.13
2025-02-01 00:00:00,INT_104,69,42.41
2025-02-01 01:00:00,INT_101,105,29.84
2025-02-01 01:00:00,INT_102,73,48.78
2025-02-01 01:00:00,INT_103,71,33.73
2025-02-01 01:00:00,INT_104,80,46.19
2025-02-01 02:00:00,INT_101,102,37.92
2025-02-01 02:00:00,INT_102,74,41.74
2025-02-01 02:00:00,INT_103,89,47.37
2025-02-01 02:00:00,INT_104,81,40.53
2025-02-01 03:00:00,INT_101,104,35.77
2025-02-01 03:00:00,INT_102,82,62.23
2025-02-01 03:00:00,INT_103,67,33.49
2025-02-01 03:00:00,INT_104,63,37.26
2025-02-01 04:00:00,INT_101,109,43.54
2025-02-01 04:00:00,INT_102,81,40.14
2025-02-01 04:00:00,INT_103,78,26.07
2025-02-01 04:00:00,INT_104,63,38.3
2025-02-01 05:00:00,INT_101,100,42.36
2025-02-01 05:00:00,INT_102,94,41.79
2025-02-01 05:00:00,INT_103,85,46.75
2025-02-01 05:00:00,INT_104,73,36.06
2025-02-01 06:00:00,INT_101,105,32.7
2025-02-01 06:00:00,INT_102,85,37.3
2025-02-01 06:00:00,INT_103,73,36.01
2025-02-01 06:00:00,INT_104,82,47.79
2025-02-01 07:00:00,INT_101,167,36.85
2025-02-01 07:00:00,INT_102,151,24.87
2025-02-01 07:00:00,INT_103,157,35.57
2025-02-01 07:00:00,INT_104,133,41.54
2025-02-01 08:00:00,INT_101,178,34.05
2025-02-01 08:00:00,INT_102,147,41.26
2025-02-01 08:00:00,INT_103,144,39.32
2025-02-01 08:00:00,INT_104,123,35.11
2025-02-01 09:00:00,INT_101,181,37.62
2025-02-01 09:00:00,INT_102,165,41.07
2025-02-01 09:00:00,INT_103,163,22.93
2025-02-01 09:00:00,INT_104,151,19.26
2025-02-01 10:00:00,INT_101,110,51.98
2025-02-01 10:00:00,INT_102,78,37.6
2025-02-01 10:00:00,INT_103,78,43.1
2025-02-01 10:00:00,INT_104,73,37.62
2025-02-01 11:00:00,INT_101,87,40.58
2025-02-01 11:00:00,INT_102,79,30.03
2025-02-01 11:00:00,INT_103,73,42.01
2025-02-01 11:00:00,INT_104,73,49.03
2025-02-01 12:00:00,INT_101,118,44.68
2025-02-01 12:00:00,INT_102,102,38.73
2025-02-01 12:00:00,INT_103,114,35.25
2025-02-01 12:00:00,INT_104,105,44.17
2025-02-01 13:00:00,INT_101,137,41.87
2025-02-01 13:00:00,INT_102,112,48.87
2025-02-01 13:00:00,INT_103,110,39.96
2025-02-01 13:00:00,INT_104,99,48.74
2025-02-01 14:00:00,INT_101,108,37.81
2025-02-01 14:00:00,INT_102,81,42.54
2025-02-01 14:00:00,INT_103,72,32.51
2025-02-01 14:00:00,INT_104,63,31.54
2025-02-01 15:00:00,INT_101,97,37.25
2025-02-01 15:00:00,INT_102,79,49.63
2025-02-01 15:00:00,INT_103,79,20.68
2025-02-01 15:00:00,INT_104,85,39.17
2025-02-01 16:00:00,INT_101,99,47.23
2025-02-01 16:00:00,INT_102,79,36.96
2025-02-01 16:00:00,INT_103,82,44.05
2025-02-01 16:00:00,INT_104,64,52.11
2025-02-01 17:00:00,INT_101,202,29.7
2025-02-01 17:00:00,INT_102,177,38.11
2025-02-01 17:00:00,INT_103,154,34.96
2025-02-01 17:00:00,INT_104,159,36.12
2025-02-01 18:00:00,INT_101,184,10.31
2025-02-01 18:00:00,INT_102,196,36.12
2025-02-01 18:00:00,INT_103,174,31.54
2025-02-01 18:00:00,INT_104,158,32.72
2025-02-01 19:00:00,INT_101,190,35.86
2025-02-01 19:00:00,INT_102,154,37.93
2025-02-01 19:00:00,INT_103,169,34.03
2025-02-01 19:00:00,INT_104,150,41.36
2025-02-01 20:00:00,INT_101,100,37.8
2025-02-01 20:00:00,INT_102,65,42.14
2025-02-01 20:00:00,INT_103,87,40.48
2025-02-01 20:00:00,INT_104,75,39.85
2025-02-01 21:00:00,INT_101,106,49.14
2025-02-01 21:00:00,INT_102,72,28.94
2025-02-01 21:00:00,INT_103,81,39.36
2025-02-01 21:00:00,INT_104,66,30.52
2025-02-01 22:00:00,INT_101,93,39.25
2025-02-01 22:00:00,INT_102,89,38.45
2025-02-01 22:00:00,INT_103,89,31.52
2025-02-01 22:00:00,INT_104,61,53.08
2025-02-01 23:00:00,INT_101,100,47.29
2025-02-01 23:00:00,INT_102,81,45.76
2025-02-01 23:00:00,INT_103,79,40.72
2025-02-01 23:00:00,INT_104,68,46.01
2025-02-02 00:00:00,INT_101,89,39.07
2025-02-02 00:00:00,INT_102,84,47.23
2025-02-02 00:00:00,INT_103,78,30.78
2025-02-02 00:00:00,INT_104,67,43.41
2025-02-02 01:00:00,INT_101,103,44.03
2025-02-02 01:00:00,INT_102,93,39.24
2025-02-02 01:00:00,INT_103,87,48.23
2025-02-02 01:00:00,INT_104,58,39.33
2025-02-02 02:00:00,INT_101,106,44.48
2025-02-02 02:00:00,INT_102,71,23.81
2025-02-02 02:00:00,INT_103,80,42.66
2025-02-02 02:00:00,INT_104,76,53.29
2025-02-02 03:00:00,INT_101,99,42.33
2025-02-02 03:00:00,INT_102,61,35.93
2025-02-02 03:00:00,INT_103,76,39.99
2025-02-02 03:00:00,INT_104,59,25.82
