datetime,intersection_id,avg_wait_time
2025-02-01 00:00:00,INT_101,41.38
2025-02-01 00:00:00,INT_102,18.54
2025-02-01 00:00:00,INT_103,30.48
2025-02-01 00:00:00,INT_104,15.45
2025-02-01 01:00:00,INT_101,37.98
2025-02-01 01:00:00,INT_102,34.55
2025-02-01 01:00:00,INT_103,31.58
2025-02-01 01:00:00,INT_104,29.61
2025-02-01 02:00:00,INT_101,55.75
2025-02-01 02:00:00,INT_102,26.69
2025-02-01 02:00:00,INT_103,35.79
2025-02-01 02:00:00,INT_104,26.62
2025-02-01 03:00:00,INT_101,28.06
2025-02-01 03:00:00,INT_102,33.63
2025-02-01 03:00:00,INT_103,27.78
2025-02-01 03:00:00,INT_104,34.62
2025-02-01 04:00:00,INT_101,37.17
2025-02-01 04:00:00,INT_102,26.99
2025-02-01 04:00:00,INT_103,31.28
2025-02-01 04:00:00,INT_104,47.13
2025-02-01 05:00:00,INT_101,44.39
2025-02-01 05:00:00,INT_102,29.43
2025-02-01 05:00:00,INT_103,30.4
2025-02-01 05:00:00,INT_104,22.02
2025-02-01 06:00:00,INT_101,35.42
2025-02-01 06:00:00,INT_102,28.1
2025-02-01 06:00:00,INT_103,50.77
2025-02-01 06:00:00,INT_104,22.07
2025-02-01 07:00:00,INT_101,45.38
2025-02-01 07:00:00,INT_102,34.38
2025-02-01 07:00:00,INT_103,43.75
2025-02-01 07:00:00,INT_104,28.77
2025-02-01 08:00:00,INT_101,46.34
2025-02-01 08:00:00,INT_102,38.14
2025-02-01 08:00:00,INT_103,37.48
2025-02-01 08:00:00,INT_104,34.08
2025-02-01 09:00:00,INT_101,46.57
2025-02-01 09:00:00,INT_102,31.9
2025-02-01 09:00:00,INT_103,40.33
2025-02-01 09:00:00,INT_104,29.64
2025-02-01 10:00:00,INT_101,29.43
2025-02-01 10:00:00,INT_102,23.74
2025-02-01 10:00:00,INT_103,31.44
2025-02-01 10:00:00,INT_104,28.74
2025-02-01 11:00:00,INT_101,44.11
2025-02-01 11:00:00,INT_102,29.73
